28800.0
time step : 22, 71, 46, 64, 141, 112, 223, 169, 52, 92, 95, 181, 

time step : 0, 3, 25, 24, 76, 118, 115, 22, 9, 67, 0, 0, 

time step : 58, 9, 3, 1, 36, 48, 14, 78, 0, 98, 3, 54, 

time step : 0, 10, 26, 1, 48, 0, 143, 9, 1, 41, 0, 81, 
46800.0
time step : 79, 61, 69, 144, 86, 132, 236, 130, 78, 124, 111, 162, 

time step : 45, 49, 59, 0, 90, 118, 186, 236, 99, 147, 126, 162, 

time step : 54, 61, 0, 76, 110, 118, 200, 253, 84, 155, 134, 188, 

time step : 81, 48, 0, 201, 102, 155, 161, 274, 32, 57, 137, 187, 

time step : 122, 37, 16, 61, 135, 176, 188, 216, 108, 75, 54, 61, 

time step : 152, 35, 38, 35, 29, 165, 166, 295, 73, 125, 49, 208, 

time step : 48, 25, 43, 60, 82, 63, 26, 118, 70, 0, 103, 105, 

time step : 0, 63, 36, 31, 48, 120, 0, 212, 0, 4, 100, 121, 

time step : 23, 57, 79, 72, 114, 110, 198, 167, 58, 109, 91, 164, 

time step : 0, 10, 0, 36, 9, 106, 25, 51, 5, 66, 7, 0, 

time step : 60, 21, 0, 3, 4, 43, 20, 86, 0, 29, 7, 98, 

time step : 0, 10, 0, 0, 123, 0, 99, 0, 8, 95, 0, 103, 
50400.0
time step : 51, 51, 73, 90, 85, 103, 243, 133, 82, 139, 107, 165, 

time step : 56, 60, 94, 0, 133, 90, 202, 192, 94, 145, 140, 156, 

time step : 46, 61, 0, 171, 118, 155, 192, 295, 102, 157, 134, 158, 

time step : 9, 76, 0, 218, 115, 175, 187, 296, 19, 47, 133, 172, 

time step : 176, 36, 22, 51, 136, 156, 188, 222, 107, 105, 61, 28, 

time step : 110, 39, 67, 31, 19, 147, 191, 306, 82, 129, 80, 168, 

time step : 45, 22, 40, 54, 86, 53, 16, 151, 102, 0, 95, 89, 

time step : 0, 67, 27, 37, 66, 148, 0, 251, 0, 10, 79, 137, 

time step : 60, 19, 66, 51, 119, 100, 129, 166, 56, 85, 72, 135, 

time step : 0, 10, 0, 31, 87, 103, 55, 76, 0, 91, 0, 0, 

time step : 71, 10, 0, 0, 74, 33, 0, 92, 0, 71, 32, 128, 

time step : 22, 13, 0, 0, 119, 0, 103, 61, 18, 2, 0, 76, 
54000.0
time step : 38, 69, 69, 18, 80, 123, 252, 157, 61, 110, 135, 158, 

time step : 53, 56, 45, 0, 61, 110, 151, 152, 90, 128, 129, 172, 

time step : 63, 62, 0, 72, 92, 101, 200, 253, 85, 125, 139, 185, 

time step : 93, 34, 22, 38, 137, 181, 175, 172, 43, 44, 146, 119, 

time step : 21, 34, 10, 19, 112, 176, 146, 194, 102, 24, 42, 25, 

time step : 99, 46, 107, 19, 3, 11, 138, 138, 65, 47, 40, 157, 

time step : 61, 22, 50, 44, 84, 0, 0, 84, 76, 39, 97, 73, 

time step : 0, 70, 28, 0, 88, 0, 0, 170, 0, 1, 75, 165, 

time step : 0, 23, 0, 24, 43, 52, 136, 113, 12, 0, 33, 9, 

time step : 0, 6, 0, 7, 0, 67, 0, 39, 5, 0, 0, 3, 

